Format: EncDifference(long),EncBuffer(long int),WheelPositionRadians(float),encRate(ticks/sec)(float),MotorVoltage(float),MotorCurrent(float)

0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.08
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.09
0,-8990,-15.71,0.00,0.01,0.08
